40
0   0  0.05    1
1   0.05  0.1    1
2   0.1  0.15    1
3   0.15  0.2    1
4   0.2  0.25    1
5   0.25  0.3    1
6   0.3  0.35    1
7   0.35  0.4    1
8   0.4  0.45    1
9   0.45  0.5    1
10   0.5  0.55    1
11   0.55  0.6    1
12   0.6  0.65    1
13   0.65  0.7    1
14   0.7  0.75    1
15   0.75  0.8    1
16   0.8  0.85    1
17   0.85  0.9    1
18   0.9  0.95    1
19   0.95  1    1
20   1  1.05    1
21   1.05  1.1    1
22   1.1  1.15    1
23   1.15  1.2    1
24   1.2  1.25    1
25   1.25  1.3    1
26   1.3  1.35    1
27   1.35  1.4    1
28   1.4  1.45    1
29   1.45  1.5    1
30   1.5  1.55    1
31   1.55  1.6    1
32   1.6  1.65    1
33   1.65  1.7    1
34   1.7  1.75    1
35   1.75  1.8    1
36   1.8  1.85    1
37   1.85  1.9    1
38   1.9  1.95    1
39   1.95  2    1
